ID,Name,Country,Reason
76561198216450492,Asger,International,VAC
76561198082244898,orenji,Germany,VAC
76561198082244898,orenji,Germany,VAC
76561198014732657,MrNavette,France,VAC ban
76561198001777007,mique,Israel,VAC
76561198109173395,metasquid,Japan,VAC ban
76561198007640348,Cerebro,Lithuania,VAC
76561198086660751,Zarix,France,VAC banned
76561198086660751,Zarix,France,VAC
76561198111650729,vinz.,France,VAC Ban
76561198111650729,vinz.,France,Blacklisted
76561198041285102,009EFF,Belgium,ESP
76561199214964842,Soria,International,VAC
76561199108432130,Edy99,International,VAC
76561199108432130,Edy99,International,Cheating (after a VAC League Ban)
76561198070053956,ffury,International,VAC
76561198070053956,ffury,International,Blacklisted
76561198069787502,misiek,Poland,Aimbot
76561198069787502,misiek,Poland,VAC
76561198828381453,m0rg,Russia,Failure to provide 2 demo requests.
76561198828381453,m0rg,Russia,Failure to provide 3 demo requests.
76561198094812010,Gish,International,VAC
76561198073909614,pud.,Germany,Failure to provide 2 demo requests.
76561198080572025,Sparky,UnitedKingdom,VAC
76561198188886021,PAPA(OTEC),Kazakhstan,Harassment
76561198188886021,PAPA(OTEC),Kazakhstan,Racism
76561198084079178,hm567,International,VAC
76561198226583636,spawncamper.,Poland,Threats/Toxicity
76561198353342458,Elbbi,International,VAC
76561198101493909,_b,International,VAC
76561197977561907,-CG- Loud Assassin,UnitedKingdom,VAC
76561198254095012,ZooM,International,VAC
76561198254095012,ZooM,International,Blacklisted
76561198397615757,Dallasi,Poland,Merc circumvention
76561198359272887,Astro65CZ,International,VAC
76561198072173513,Juice,International,VAC
76561198832084164,Ju,International,VAC
76561198043337323,Holbs,International,VAC
76561198397379093,Mappy,Hungary,VAC
76561198105005562,helomenspuder,International,VAC
76561198045957352,pelta,European,VAC
76561198045957352,pelta,European,VAC
76561198045957352,pelta,European,Cheating 2nd time
76561198091798048,Serotone,UnitedKingdom,VAC banned
76561198380096207,Гаррик,International,VAC
76561197993612020,Qx1D,Estonia,VAC
76561198050653944,TheCoon,England,Intentionally adding a banned player to 
76561198444140928,Wargamer,International,VAC
